algorithm,n,height,time
NFDH,2520,850.327,0.0002437
SF,2520,748.794,0.0030851
FFDH,2530,661.314,0.0045516
NFDH,2530,845.617,0.0002306
SF,2530,740.676,0.0031421
FFDH,2540,673.527,0.0048327
NFDH,2540,852.877,0.0002502
SF,2540,751.18,0.003232
FFDH,2550,676.972,0.0045889
NFDH,2550,856.575,0.0002431
SF,2550,753.505,0.003198
FFDH,2560,678.089,0.004635
NFDH,2560,868.224,0.0002255
SF,2560,750.575,0.003164
FFDH,2570,676.001,0.0046519
NFDH,2570,864.142,0.0002507
SF,2570,743.658,0.003121
FFDH,2580,666.366,0.0045745
NFDH,2580,846.238,0.0002406
SF,2580,734.045,0.0031047
FFDH,2590,674.068,0.0046132
NFDH,2590,860.151,0.0002507
SF,2590,757.287,0.0031958
FFDH,2600,696.46,0.0047152
NFDH,2600,877.556,0.0002839
SF,2600,778.111,0.0033993
FFDH,2610,696.074,0.0047569
NFDH,2610,882.313,0.0002705
SF,2610,771.12,0.0033084
FFDH,2620,693.43,0.0047142
NFDH,2620,884.771,0.0002533
SF,2620,779.327,0.0032459
FFDH,2630,678.678,0.0047822
NFDH,2630,871.335,0.000234
SF,2630,751.417,0.0031984
FFDH,2640,683.782,0.0048621
NFDH,2640,870.637,0.000247
SF,2640,761.894,0.0034769
FFDH,2650,698.166,0.0048736
NFDH,2650,895.726,0.000228
SF,2650,773.281,0.003323
FFDH,2660,688.399,0.0047929
NFDH,2660,876.196,0.000249
SF,2660,763.211,0.003275
FFDH,2670,712.818,0.0048725
NFDH,2670,911.909,0.0002303
SF,2670,798.167,0.0033608
FFDH,2680,719.84,0.004995
NFDH,2680,909.813,0.0002442
SF,2680,798.047,0.0035203
FFDH,2690,711.866,0.0049839
NFDH,2690,902.946,0.0002614
SF,2690,792.145,0.004305
FFDH,2700,692.803,0.0050243
NFDH,2700,878.268,0.0002899
SF,2700,771.818,0.0034161
